subject,item,repetition,window,duration,sF0,strF0,pF0,CPP,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,Energy,HNR05,HNR15,HNR25,HNR35,onset,nuc,coda,asp,tone,voicing,semitones,register,contour,manner,pct
M2,waa2,3,1,127.282,115.281142857143,115.728357142857,117.494571428571,24.9684285714286,-4.85714285714286,9.07542857142857,14.2232142857143,14.2015714285714,10.6815,-1.19321428571429,28.6624285714286,0.0525,46.4298571428571,42.421,47.151,48.0314285714286,w,aa,,unasp,21,voiced,-2.31900497091531,low,falling,sonorant,0
M2,waa2,3,2,127.282,119.400333333333,119.014777777778,122.719666666667,22.6307777777778,-4.43733333333333,7.995,15.2926666666667,17.1482222222222,7.968,-0.836111111111111,27.9778888888889,0.0604444444444444,39.1607777777778,35.4986666666667,41.9187777777778,43.3504444444444,w,aa,,unasp,21,voiced,-1.83422529288131,low,falling,sonorant,0.1
M2,waa2,3,3,127.282,116.618111111111,116.471333333333,120.430111111111,22.0108888888889,-4.65433333333333,7.60277777777778,14.7128888888889,17.173,8.94544444444444,1.76977777777778,26.5096666666667,0.0784444444444444,38.6898888888889,33.5107777777778,38.918,40.4504444444444,w,aa,,unasp,21,voiced,-2.20821498099773,low,falling,sonorant,0.2
M2,waa2,3,4,127.282,113.650555555556,113.756111111111,117.844222222222,22.498,-4.82,7.13877777777778,13.6154444444444,15.5742222222222,9.35911111111111,3.21544444444444,25.7737777777778,0.0923333333333333,37.9554444444444,31.7846666666667,36.8472222222222,38.9314444444444,w,aa,,unasp,21,voiced,-2.61658533242948,low,falling,sonorant,0.3
M2,waa2,3,5,127.282,111.229,111.078444444444,114.904333333333,23.665,-5.29444444444444,6.60577777777778,13.0044444444444,13.7818888888889,9.05211111111111,3.223,25.7786666666667,0.107111111111111,35.7486666666667,29.1058888888889,34.1703333333333,37.1214444444444,w,aa,,unasp,21,voiced,-3.02896739540803,low,falling,sonorant,0.4
M2,waa2,3,6,127.282,109.149222222222,108.962,112.280444444444,23.7141111111111,-6.17433333333333,6.40344444444444,12.7824444444444,12.0453333333333,7.891,2.28422222222222,26.496,0.117666666666667,37.066,29.7184444444444,34.004,36.763,w,aa,,unasp,21,voiced,-3.36201286741975,low,falling,sonorant,0.5
M2,waa2,3,7,127.282,106.994888888889,107.258888888889,110.067222222222,23.6745555555556,-6.75744444444444,6.22644444444444,12.4917777777778,11.1217777777778,7.55611111111111,2.44366666666667,26.6706666666667,0.122666666666667,38.3833333333333,30.7881111111111,34.2226666666667,36.7052222222222,w,aa,,unasp,21,voiced,-3.6347473788372,low,falling,sonorant,0.6
M2,waa2,3,8,127.282,105.711111111111,105.892777777778,107.854555555556,24.723,-6.67933333333333,6.03388888888889,12.397,11.1142222222222,8.61377777777778,3.09777777777778,26.4977777777778,0.120555555555556,40.6607777777778,32.9688888888889,35.2993333333333,37.4782222222222,w,aa,,unasp,21,voiced,-3.8566635844201,low,falling,sonorant,0.7
M2,waa2,3,9,127.282,104.937555555556,105.162888888889,106.202888888889,25.8102222222222,-6.18422222222222,5.81755555555556,12.3201111111111,11.6425555555556,10.7092222222222,3.89455555555556,26.0072222222222,0.119444444444444,46.7523333333333,38.6021111111111,39.3151111111111,40.5278888888889,w,aa,,unasp,21,voiced,-3.97640578835363,low,falling,sonorant,0.8
M2,waa2,3,10,127.282,104.417555555556,104.767111111111,105.212777777778,26.4908888888889,-6.26955555555556,5.92755555555556,11.7406666666667,11.1262222222222,12.2172222222222,4.49977777777778,24.8762222222222,0.105777777777778,50.7973333333333,42.1982222222222,41.9557777777778,42.4075555555556,w,aa,,unasp,21,voiced,-4.04168324050793,low,falling,sonorant,0.9
