Text,Class,Language
"Obvio la policía es una pendeja, pero ya vi que llamaron a la policía por desorden público, seguro se resistió la mujer",Violencia,E
Quemenla en leña verde junto con la poli asesina.,Violencia,E
A este hombre lo mataron por ser trangénero.,Violencia,I
Y después se quejan de que se muere tanta persona con COVID y le echan la culpa a Dios ,Violencia,I
Ojala y quedé como vegetal el hdp para que ya no dañe mas al país.,Violencia,I
Ojalá le haga reacción  y se lo cargue su chdm !!,Violencia,I
A mí en lo personal me vale madre si se vacuna o no y si vive o muere. Pinche viejo payaso.,Violencia,E
El que no debe existir es este Marrano violador que da asco,Violencia,E
Dónde te agarren HDTPM unos plomazos cabron para que cientas en carne propia lo que haces a la gente,Violencia,E
Y no es más barato q te mueras hijo de puta? Digo comprar gasolina ?,Violencia,E
"Yo soy provida con fetos masculinos y pro aborto con fetos femeninos Los unicos fetos masculinos con quien soy pro aborto son los fetos masculinos de gay , trans , negro , pobre o comunista.",Violencia,E
En las campañas de vacunación a las feminazis las deberian de es terilizar químicamente. Para cuando se quieren reproducir tengan lo que tanto anhelan. No dejar descendencia,Violencia,E
Menos mal gente con d4wn como tu mu3r3n a los 20 nomas pa q no publiques tonterias,Violencia,I
"Si mi hija fuera una Put4 no volvería a ser mi hija crack por muy hija que sea si es puta es porque quiere, pero bueno nunca voy a tener hijos así que me vale verga",Violencia,E
Esta semana un niña y una jovencita violadas y asesinadas por ENFERMOS SEXUALES QUE TU Y TU CONTENIDO ENFERMO PROVOCAN.. SI TU Y TU CONTENIDO ENFERMO.... ESOS QUE SE LA.PASAN DAÑANDO SU MENTE EN SU CUARTO... Y RODO POR DINERO SUCIO...,Violencia,E
"Osea que si alguien está ebrio y hace escándalo, según su lógica pendeja es prostituta? Lo importante aquí es que LA ASESINARON con total autoritarismo, lo menos relevante es a qué se dedicaba la hoy difunta.",Violencia,E
"Ahora los hombres tienen la culpa de todo lo que les pase a las mujeres, y tambien si se matan entre ustedes? Dan asco féminazis, ustedes si son féminazis.",Violencia,E
Espero que tengas una vida larga y muy pero muy dolorosa social y fisica mente,Violencia,E
Pendeja ya ví porque las mujeres son maltratadas en irán porque no se retoman las buenas costumbres es humor pendeja como acabo de decir es humor lo que acabo de escribir no entiendes tú no le sabes al humor,Violencia,E
De todo corazón espero que te metan a la cárcel baby. ,Violencia,I
Y si mejor te violan?,Violencia,E
Te va a cargar la verga pinché mugrosa...,Violencia,E
Esto reitera que las mujeres no se soportan y se destrozan entre sí. Sí tuvieran pene se violarian entre ellas.,Violencia,I
Zorra pelada ojalá te metan a la cárcel ya para que le bajes a tus humos de cuarentona hipócrita,Violencia,E
Eres bien hipócrita ojalá y el karma te llegue algún día.,Violencia,I
Ojalá y te cargue la verga,Violencia,E
Así de culero te van. Servir tu comida en el reclusorio.,Violencia,E
Ojala se los lleve la chingada.,Violencia,E
Garrote y plomo para esas diabólicas vandálicas,Violencia,I
En estados unidos ya los policia la ubieran matado y mandar su feminismo ala verga,Violencia,E
Pinches viejas desmadrosas e ignorantes deberian madrearlas y meterlas al bote y la chingada sus derechos humanos,Violencia,E
"Puto negro de mierda, te voy a matar con mis propias manos",Violencia,E
Total que siempre quedas como pendejo.,Violencia,E
"PINCHE VIEJA OPORTUNISTA HUBIERA EDUCADO A SU HIJA, HOY LO QUE QUIERE ES DINERO!!!!",Violencia,E
"Pinche vieja lesbiana, en este momento quieres que voltiemos a verte para distraernos de lo malo que es el culero KKS, con las mujeres, tu madre y tu lo son, NO MAMES",Acoso,E
Abriendo las patas entre ustedes quizo decir... ,Acoso,I
Ve a vender tu culo vieja pendeja que solo para eso sirves,Acoso,E
Si nos descuidamos nos agarra a cachetadas con su pito (su silbato) y con el que tiene en la entrepierna también.,Acoso,I
Soy yo o es la versión mexica del duende verde trans.,Acoso,I
Transexuala! Hije! Velosiste!! Secretarie!! Transformadore!! Futboliste!!,Acoso,I
De seguro es porque tiene unos HUEVOTES... (Literal...),Acoso,I
"Y trans de tiempo completo, falto",Acoso,I
Está gorda pues!,Acoso,E
Pobres putas que dificil ha de ser sacarse una foto desnuda oh cuanta dedicacion atras,Acoso,I
Putas chichotas,Acoso,E
Simon perra chichotas y perro pezonsote,Acoso,E
pues es ella la que muestra las tetas xd,Acoso,E
Clitoris grande . Ñum ñum . Para que se la jalen pinches chamakos chaketeros,Acoso,E
Que ganas de ven1rme en esas t3t4s,Acoso,I
"Pues como no, puro chaqueto, con esas tetotas y nalgotas",Acoso,E
Para mamarte bb,Acoso,E
"Buenas las tenga querida, como le va en su vieje?",Acoso,I
Eso no es ser puta peroo segun tu si,Acoso,I
Tas re guena,Acoso,I
Tetas operadas.,Acoso,E
Le quedo bien el producto al doctor,Acoso,I
"Tetas y culo, mas falsos que los implantes de ninl conde",Acoso,E
Aja y para cuando enseñas las tetas njda,Acoso,I
Ayúdame Ari ya no se me para la riataaa ,Acoso,E
Que buen pezonsote,Acoso,E
K sabrosa estás princesa ,Acoso,E
Gracias por formar parte de mi rutina diaria de 8 pajas ,Acoso,I
Ahuevos que tiene un persing en el sapo,Acoso,I
El juan come bien eh,Violencia,I
Pero porque no muestras las tetas como en tus directos,Violencia,E
"Si quieres ver tetas vete a ver porno niño, no estes jodiendo aquí",Violencia,E
Que rica estas,Violencia,E
El cuerpo super deforme de Juan XD Parece Ralph el demoledor,Violencia,E
se le va a engordar la cola(?,Violencia,I
Ke tetotas atlyayayi,Violencia,I
"Porque estás promoviendo la mediocridad atravez de la lujuria y prostitución, que sientes al saber que la mayoría de tus seguidores solo te ven como un cuerpo y así tú te vendes",Violencia,I
"Si por ""positivamente"" para vos es motrar tetas y culo.... bueno.... que lindo docente.. . Jajabajaja. Aclaro... si se gana la vida así esta bien... laburo es laburo... que muetre tetas y culo....",Violencia,I
Ahh... todo me chupa un huevo....,Violencia,E
Quisiera tener chichotas para ganar un millón al mes también sr pool,Violencia,E
Y pelar tetas... y quien sabe cuantas arrodilladas se mandó jajajajajaa,Violencia,I
También te vas a poner chichis y nalgas para lograr todas esas cosas? ,Violencia,E
Trabajan tiraba jajajajajajajajajajajajajajajajajajajajajajaja bueno la Ari si porque es una golfa y con su Priv se pagó la casa,Violencia,E
Que buen idea me acabas de dar voy a sacar una prosti le meto nalga y chichi y listo que haga videos ridículos y ahora sí a igual que ellos la Prosti y yo merengues el padrote …,Violencia,E
Putear si deja ganancias!,Violencia,E
El poder de una zorra que se encuera por Internet,Violencia,E
Yaaa sube más videos de tus nalgas para seguir cooperando y puedas construir,Violencia,E
Comprar un terreno vestida como prostituta es una excelente fantasía!!! Dignas de pornhub,Violencia,E
La putería nunca descansa,Violencia,E
De enseñar pura vagina y tetas... Así hasta yo .... Y lo peor que ni enseña bien ,Violencia,E
Siglo 21 no existe la puta gamer: la prostituta game,Violencia,E
Las fotos en calzones si dejan,Violencia,I
Sin tetas no hay stream ,Violencia,E
Maraca qlia salte de mi twitter bitch,Violencia,E
Severas tetas,Violencia,E
Que rica mami yo si te doy todo,Violencia,I
