,subject,sex,age,lop,viet,trial,tone1,tone2,group,pair,actual,response,correct,rt,logrt
1,VM4,m,26,12,100,1,33,212,33/212,33-212,different,different,TRUE,2.40553784370422,0.877773514190855
2,VM4,m,26,12,100,2,21,33,33/21,21-33,different,same,FALSE,3.94692301750183,1.37293629243726
3,VM4,m,26,12,100,3,214,214,same,214-214,same,same,TRUE,2.56381106376648,0.941494848264728
4,VM4,m,26,12,100,4,212,212,same,212-212,same,same,TRUE,2.26785802841187,0.818835786204188
5,VM4,m,26,12,100,5,214,21,21/214,214-21,different,different,TRUE,2.34789800643921,0.853520462538219
6,VM4,m,26,12,100,6,212,35,35/212,212-35,different,different,TRUE,1.96721291542053,0.676617777280833
7,VM4,m,26,12,100,7,21,21,same,21-21,same,same,TRUE,1.98454618453979,0.685390265602981
8,VM4,m,26,12,100,8,21,212,21/212,21-212,different,different,TRUE,2.34783101081848,0.85349192783339
9,VM4,m,26,12,100,9,212,212,same,212-212,same,same,TRUE,2.48380899429321,0.909793266707787
10,VM4,m,26,12,100,10,33,33,same,33-33,same,same,TRUE,2.19586491584778,0.786576008024717
11,VM4,m,26,12,100,11,21,214,21/214,21-214,different,different,TRUE,1.98780798912048,0.687032518620301
12,VM4,m,26,12,100,12,212,33,33/212,212-33,different,different,TRUE,2.27570295333862,0.822288995153703
13,VM4,m,26,12,100,13,35,35,same,35-35,same,same,TRUE,1.96142387390137,0.673670675769737
14,VM4,m,26,12,100,14,212,214,212/214,212-214,different,different,TRUE,3.57442879676819,1.27380538625247
15,VM4,m,26,12,100,15,21,21,same,21-21,same,same,TRUE,2.06793999671936,0.726552941099201
16,VM4,m,26,12,100,16,35,33,33/35,35-33,different,different,TRUE,1.97080397605896,0.678441569170393
17,VM4,m,26,12,100,17,33,214,33/214,33-214,different,different,TRUE,2.86065912246704,1.05105206068044
18,VM4,m,26,12,100,18,33,35,33/35,33-35,different,different,TRUE,2.47584009170532,0.906579769419036
19,VM4,m,26,12,100,19,35,35,same,35-35,same,same,TRUE,1.97278690338135,0.6794472148117
20,VM4,m,26,12,100,20,35,212,35/212,35-212,different,different,TRUE,1.62359094619751,0.484640329592033
21,VM4,m,26,12,100,21,214,33,33/214,214-33,different,different,TRUE,3.00726509094238,1.1010310580663
22,VM4,m,26,12,100,22,214,212,212/214,214-212,different,same,FALSE,2.29183197021484,0.829351484740491
23,VM4,m,26,12,100,23,214,35,35/214,214-35,different,different,TRUE,2.13185381889343,0.756991938705911
24,VM4,m,26,12,100,24,33,21,33/21,33-21,different,different,TRUE,1.95907306671143,0.672471436230826
25,VM4,m,26,12,100,25,35,214,35/214,35-214,different,different,TRUE,2.36092209815979,0.859052262285742
26,VM4,m,26,12,100,26,212,21,21/212,212-21,different,different,TRUE,2.93174886703491,1.07559912791227
27,VM4,m,26,12,100,27,21,35,21/35,21-35,different,different,TRUE,1.97497510910034,0.680555795286498
28,VM4,m,26,12,100,28,35,21,21/35,35-21,different,different,TRUE,1.70389199256897,0.532915041755609
29,VM4,m,26,12,100,29,33,33,same,33-33,same,same,TRUE,1.75557804107666,0.562798170822902
30,VM4,m,26,12,100,30,214,214,same,214-214,same,same,TRUE,2.30876493453979,0.836712721179495
31,VM4,m,26,12,100,31,35,212,35/212,35-212,different,different,TRUE,2.76342797279358,1.01647192818947
